Amanita altipes,MHHNU 32286,"61,692,752","23,969,426","4,216","162,397","10,261","3,347 (86.5%)","3,328 (86.0%)",19 (0.5%),55 (1.4%),468 (12.1%),SRR36115431
Amanita avellaneifolia,MHHNU 33518,"39,445,866	","27,424,050","5,686","111,459","9,179","3,530 (91.2%)","3,515 (90.8%)",15 (0.4%),29 (0.7%),311 (8.1%),SRR36117447
Amanita collariata,MHHNU 31095,"33,611,284","32,110,089","1,588","648,202","62,092","3,651 (94.3%)","3,623 (93.6%)",28 (0.7%),18 (0.5%),201 (5.2%),SRR36118002
Amanita farinosa,MHHNU 32771,"37,710,176","20,453,889","7,106","86,420","4,335","1,342 (34.7%)","1,314 (34.0%)",28 (0.7%),213 (5.5%),"2,315 (59.8%)",SRR36118461
Amanita flavipes,MHHNU 32280,"52,702,882","25,774,713","4,038","88,494","11,499","3,451 (89.1%)","3,426 (88.5%)",25 (0.6%),36 (0.9%),383 (10.0%),SRR36134564
Amanita flavomelleiceps,MHHNU 33119,"35,345,204","27,536,014","4,617","285,050","11,795","3,414 (88.2%)","3,388 (87.5%)",26 (0.7%),39 (1.0%),417 (10.8%),SRR36134931
Amanita flavopantherina,MHHNU 32267,"70,830,102","29,508,391","3,933","319,631","26,534","3,605 (93.2%)","3,579 (92.5%)",26 (0.7%),17 (0.4%),248 (6.4%),SRR36137064
Amanita griseopantherina,MHHNU 33084,"34,163,470","28,155,946","2,410","519,950","45,455","3,608 (93.2%)","3,581 (92.5%)",27 (0.7%),18 (0.5%),244 (6.3%),SRR36137094
Amanita melleialba,MHHNU 31481,"46,117,718","33,890,250","4,248","1,039,355","16,694","3,569 (92.2%)","3,550 (91.7%)",19 (0.5%),26 (0.7%),275 (7.1%),SRR36137101
Amanita melleiceps,MHHNU 32782,"37,809,026","28,364,598","2,106","439,570","39,074","3,640 (94.1%)","3,607 (93.2%)",33 (0.9%),15 (0.4%),215 (5.5%),SRR36137136
Amanita muscaria,MHHNU 32652,"35,175,596","26,846,124","2,922","275,118","20,158","3,548 (91.7%)","3,517 (90.9%)",31 (0.8%),30 (0.8%),292 (7.5%),SRR36137122
Amanita orientigemmata,MHHNU 33136,"41,476,560","24,427,080","4,487","105,614","9,091","3,287 (84.9%)","3,271 (84.5%)",16 (0.4%),56 (1.4%),527 (13.7%),SRR36137347
Amanita parvipantherina,MHHNU 32960,"39,123,984","24,709,800","4,636","176,674","9,640","3,117 (80.5%)","3,092 (79.9%)",25 (0.6%),84 (2.2%),669 (17.3%),SRR36137235
Amanita parvisychnopyramis,MHHNU 32953,"35,015,598","31,334,993","1,828","494,312","60,918","3,633 (93.8%)","3,601 (93.0%)",32 (0.8%),21 (0.5%),216 (5.7%),SRR36137480
Amanita pseudopantherina,MHHNU 32927,"41,435,086	","33,597,090","5,071","292,106","15,225","3,384 (87.4%)","3,361 (86.8%)",23 (0.6%),52 (1.3%),434 (11.3%),SRR36145319
Amanita pseudosychnopyramis,MHHNU 32762,"40,314,764","27,051,878","4,393","266,744","10,927","3,254 (84.1%)","3,234 (83.6%)",20 (0.5%),69 (1.8%),547 (14.1%),SRR36141426
Amanita rubrovolvata,MHHNU 32265,"37,577,214","26,470,869","6,129","423,838","7,571","2,322 (60.0%)","2,300 (59.4%)",22 (0.6%),157 (4.1%),"1,391 (35.9%)",SRR36141419
Amanita rufoferruginea,MHHNU 31887,"33,373,776	","20,996,356","3,173","293,974","13,634","3,411 (88.1%)","3,399 (87.8%)",12 (0.3%),29 (0.7%),430 (11.2%),SRR36141428
Amanita siamensis,MHHNU 32951,"42,933,440","21,097,572","3,593","192,307","11,471","3,311 (85.6%)","3,305 (85.4%)",6 (0.2%),63 (1.6%),496 (12.8%),SRR36141429
Amanita sp. 1,MHHNU 31289,"40,010,494","27,166,328","4,013","360,024","11,920","3,530 (91.2%)","3,514 (90.8%)",16 (0.4%),35 (0.9%),305 (7.9%),SRR36141466
Amanita subfrostiana,MHHNU 32919,"40,362,132","27,473,810",983,"680,987","97,381","3,653 (94.4%)","3,630 (93.8%)",23 (0.6%),9 (0.2%),208 (5.4%),SRR36145299
Amanita subglobosa,MHHNU 11257,"39,999,700","28,026,474","4,625","163,829","11,473","3,239 (83.7%)","3,218 (83.2%)",21 (0.5%),62 (1.6%),569 (14.7%),SRR36145289
Amanita subparcivolvata,MHHNU 32907,"35,202,704","25,791,885","4,795","197,480	","12,508","3,501 (90.5%)","3,485 (90.1%)",16 (0.4%),28 (0.7%),341 (8.8%),SRR36145290
Amanita subparvipantherina,MHHNU 32922,"44,865,994","27,812,934","4,858","132,469","9,911","3,298 (85.2%)","3,283 (84.8%)",15 (0.4%),70 (1.8%),502 (13.0%),SRR36145305
Amanita sychnopyramis,MHHNU 33272,"42,572,866","23,473,210","5,776","121,965","6,783","2,379 (61.5%)","2,319 (59.9%)",60 (1.6%),154 (4.0%),"1,337 (34.5%)",SRR36135399
