Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
./11664_S341_spades.fasta	./Skrap3_S361_spades.fasta	99.29	74.83	85.53	NODE_1_length_439858_cov_21.568879	NODE_1_length_275819_cov_17.058239
./11664_S341_spades.fasta	./NesPan3_S357_spades.fasta	89.39	21.21	22.66	NODE_1_length_439858_cov_21.568879	NODE_1_length_192124_cov_42.574807
./11664_S341_spades.fasta	./NagxHevestB_S355_spades.fasta	99.12	73.51	81.02	NODE_1_length_439858_cov_21.568879	NODE_1_length_248398_cov_30.683631
./11664_S341_spades.fasta	./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	94.50	55.80	52.56	NODE_1_length_439858_cov_21.568879	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence
./11664_S341_spades.fasta	./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	94.62	58.02	20.17	NODE_1_length_439858_cov_21.568879	scaffold_1
./11664_S341_spades.fasta	./20045_S349_spades.fasta	94.87	52.47	55.81	NODE_1_length_439858_cov_21.568879	NODE_1_length_504912_cov_29.891155
./11664_S341_spades.fasta	./11669_S346_spades.fasta	99.66	77.74	73.67	NODE_1_length_439858_cov_21.568879	NODE_1_length_445185_cov_23.752615
./11664_S341_spades.fasta	./11666_S343_spades.fasta	99.64	77.82	59.89	NODE_1_length_439858_cov_21.568879	NODE_1_length_774254_cov_54.103050
./11664_S341_spades.fasta	./Wirz_S363_spades.fasta	99.24	74.51	83.46	NODE_1_length_439858_cov_21.568879	NODE_1_length_389893_cov_22.598949
./11664_S341_spades.fasta	./Ring1_S359_spades.fasta	99.23	74.46	74.59	NODE_1_length_439858_cov_21.568879	NODE_1_length_931805_cov_22.221490
./11664_S341_spades.fasta	./Nes1_S356_spades.fasta	99.26	74.65	84.78	NODE_1_length_439858_cov_21.568879	NODE_1_length_295860_cov_17.834700
./11664_S341_spades.fasta	./Kara3_S353_spades.fasta	99.16	73.74	82.59	NODE_1_length_439858_cov_21.568879	NODE_1_length_327483_cov_19.758722
./11664_S341_spades.fasta	./Frag1_S351_spades.fasta	99.29	74.73	84.09	NODE_1_length_439858_cov_21.568879	NODE_1_length_447699_cov_24.901620
./11664_S341_spades.fasta	./30021_S33_L007_contigs.fasta	95.67	48.89	51.27	NODE_1_length_439858_cov_21.568879	NODE_1_length_128361_cov_39.814957
./11664_S341_spades.fasta	./20031_S348_spades.fasta	94.87	52.45	54.84	NODE_1_length_439858_cov_21.568879	NODE_1_length_226136_cov_30.285505
./11664_S341_spades.fasta	./11668_S345_spades.fasta	99.64	77.77	89.88	NODE_1_length_439858_cov_21.568879	NODE_1_length_439021_cov_21.045865
./11664_S341_spades.fasta	./11665_S342_spades.fasta	99.72	78.36	92.41	NODE_1_length_439858_cov_21.568879	NODE_1_length_541164_cov_25.230804
./11664_S341_spades.fasta	./Sogn5_S362_spades.fasta	99.30	75.20	85.57	NODE_1_length_439858_cov_21.568879	NODE_1_length_243922_cov_13.821235
./11664_S341_spades.fasta	./NzAUS95_S358_spades.fasta	99.30	75.64	86.26	NODE_1_length_439858_cov_21.568879	NODE_1_length_407107_cov_23.818920
./11664_S341_spades.fasta	./NagxHevest_S354_spades.fasta	99.08	72.87	80.14	NODE_1_length_439858_cov_21.568879	NODE_1_length_403846_cov_21.627844
./11664_S341_spades.fasta	./Gril1_S352_spades.fasta	99.20	74.47	82.48	NODE_1_length_439858_cov_21.568879	NODE_1_length_506403_cov_27.916609
./11664_S341_spades.fasta	./Aus332_S350_spades.fasta	99.37	75.12	85.81	NODE_1_length_439858_cov_21.568879	NODE_1_length_464763_cov_12.054899
./11664_S341_spades.fasta	./30000_S38_L007_contigs.fasta	95.20	51.86	54.11	NODE_1_length_439858_cov_21.568879	NODE_1_length_233627_cov_28.980214
./11664_S341_spades.fasta	./11670_S347_spades.fasta	99.64	77.23	88.94	NODE_1_length_439858_cov_21.568879	NODE_1_length_477744_cov_22.964950
